GEOID,TRACTCE,Equity_Score,Equity_Quintile,Pct_Minority,Pct_Poverty,Med_HH_Income,Pct_ZeroVehicle,Pct_Disability,Pct_Elderly,Pct_TransitCommute,Avg_Travel_Time,Pct_Hispanic,Pct_Black,Pct_White
24510170100,170100,46.7,4,78.4,29.8,43093.0,57.9,15.8,9.6,23.6,20.1,0.8,77.6,16.5
24510170200,170200,63.7,5,91.3,60.8,12484.0,75.3,25.0,10.4,38.7,23.6,0.7,90.6,5.5
24510170300,170300,59.8,5,97.1,28.3,23896.0,54.4,25.6,13.4,32.9,43.1,0.7,96.5,0.7
24510270702,270702,32.3,2,68.1,10.3,63873.0,18.6,14.0,12.5,7.2,26.3,3.7,64.4,24.2
24510270801,270801,33.3,2,85.7,13.1,61410.0,3.8,10.8,17.6,11.1,28.5,0.0,85.7,9.8
24510270703,270703,24.6,1,45.4,4.4,115650.0,2.4,13.1,13.5,12.2,26.5,2.5,42.9,48.4
24510150300,150300,58.0,5,97.8,44.4,30990.0,41.0,27.0,10.8,35.8,28.3,1.5,96.3,0.6
24510200500,200500,49.8,5,72.8,35.9,47738.0,45.8,25.0,9.8,10.3,34.2,13.3,59.4,25.8
24510200600,200600,43.8,4,84.5,18.7,49266.0,33.5,24.6,9.9,20.4,24.5,5.8,78.7,10.6
24510200701,200701,46.8,4,98.1,15.1,46023.0,30.4,26.4,19.3,19.4,25.9,9.9,88.2,1.1
24510200800,200800,47.8,4,77.0,26.5,50579.0,27.3,20.5,18.5,36.7,25.9,5.7,71.3,9.5
24510270903,270903,29.7,2,82.4,17.3,93523.0,18.3,9.5,7.7,1.0,25.1,5.5,76.9,11.3
24510271001,271001,46.7,4,84.1,20.0,50078.0,34.3,28.3,25.2,18.0,27.9,3.0,81.0,2.4
24510271002,271002,40.5,3,95.8,14.7,63482.0,29.3,20.0,21.2,0.7,23.6,6.3,89.5,3.9
24510271101,271101,29.5,2,44.7,20.7,68929.0,32.8,13.8,9.5,6.4,13.4,14.6,30.1,41.5
24510271102,271102,18.9,1,33.3,2.5,,5.0,9.9,6.6,2.6,13.5,7.3,26.0,55.7
24510271200,271200,13.8,1,10.8,3.8,195272.0,4.2,7.0,16.8,1.4,18.3,3.5,7.3,73.8
24510130806,130806,20.2,1,16.2,12.7,115100.0,13.5,11.5,16.8,7.5,21.9,7.4,8.8,68.9
24510140200,140200,46.6,4,85.8,34.9,41393.0,27.9,13.6,17.7,37.5,28.5,8.7,77.1,9.7
24510140300,140300,49.4,5,91.9,38.4,46000.0,46.8,16.2,12.8,15.1,25.1,2.6,89.4,6.9
24510150200,150200,52.6,5,98.1,24.3,48986.0,52.4,23.4,14.0,37.8,29.7,0.0,98.1,0.0
24510150400,150400,53.3,5,91.6,31.3,38918.0,43.2,23.7,20.5,28.8,28.1,1.5,90.1,5.9
24510150702,150702,46.4,4,95.3,35.1,41447.0,25.9,19.9,22.3,10.4,31.7,0.0,95.3,0.0
24510150500,150500,55.7,5,94.6,38.8,42875.0,48.1,17.2,18.3,18.3,32.3,7.0,87.6,0.7
24510150600,150600,53.8,5,98.1,27.2,38400.0,37.7,23.9,14.7,36.1,32.2,0.0,98.1,1.2
24510150701,150701,50.2,5,98.2,25.6,56318.0,40.3,22.9,10.0,28.1,34.6,13.9,84.3,0.0
24510200400,200400,52.9,5,88.6,24.1,40219.0,63.9,18.7,24.7,24.8,21.2,0.0,88.6,7.7
24510190200,190200,36.3,2,58.8,10.4,73214.0,30.3,8.4,10.5,32.3,24.7,11.9,46.9,18.4
24510190300,190300,40.7,3,75.8,14.7,53654.0,48.4,14.9,10.1,13.6,15.3,9.8,66.0,17.0
24510200100,200100,40.9,3,96.8,14.7,88125.0,38.5,10.6,7.6,15.2,22.2,2.0,94.8,1.1
24510200200,200200,49.9,5,94.4,38.9,28203.0,29.2,22.3,27.2,15.3,21.8,8.7,85.7,1.9
24510200300,200300,52.2,5,70.6,30.6,52409.0,54.0,22.6,13.4,36.6,38.6,0.0,70.6,24.3
24510270803,270803,37.8,3,93.0,9.7,60046.0,22.1,12.6,18.3,8.5,24.1,0.9,92.2,2.3
24510270805,270805,38.0,3,88.0,7.9,77992.0,8.0,17.3,17.1,21.2,28.2,7.8,80.2,9.0
24510270901,270901,41.5,3,96.2,14.6,51784.0,20.8,18.2,20.2,10.3,24.8,1.7,94.5,1.3
24510270902,270902,32.9,2,90.0,8.9,80234.0,16.5,14.5,19.6,6.4,20.1,1.4,88.6,5.9
24510270804,270804,36.7,3,50.2,15.5,69167.0,27.0,21.4,17.6,9.5,27.3,8.4,41.9,41.9
24510271503,271503,24.6,1,23.1,4.0,93438.0,4.2,17.3,63.6,1.1,13.6,0.0,23.1,70.8
24510260403,260403,38.7,3,88.6,8.1,46222.0,22.3,19.3,25.9,13.6,25.1,0.0,88.6,8.5
24510060100,060100,31.2,2,53.2,17.1,66265.0,10.2,7.8,20.4,4.3,24.3,10.0,43.2,31.4
24510210100,210100,29.4,2,57.2,21.6,83934.0,18.5,12.3,5.6,10.8,18.1,9.0,48.2,29.7
24510220100,220100,30.2,2,17.2,15.6,63585.0,27.5,26.1,33.0,0.2,17.5,3.1,14.0,68.8
24510230300,230300,16.5,1,9.7,12.5,113750.0,6.0,9.1,3.7,0.4,17.9,3.7,6.0,74.7
24510240100,240100,14.4,1,13.8,3.8,130219.0,2.7,7.5,12.2,3.7,18.1,6.4,7.3,77.6
24510210200,210200,34.4,2,59.3,17.9,63777.0,33.0,20.8,11.8,2.4,21.5,4.9,54.4,32.2
24510250206,250206,30.4,2,47.9,19.7,63233.0,15.1,13.0,16.5,1.4,13.1,13.2,34.7,44.1
24510250207,250207,41.9,3,90.9,19.0,41292.0,27.2,25.1,14.2,6.7,22.7,0.7,90.2,5.5
24510250301,250301,48.7,4,79.8,39.1,29538.0,41.6,26.3,12.1,9.7,26.7,6.2,73.6,8.2
24510250303,250303,40.5,3,31.2,25.9,50990.0,35.5,29.3,17.3,19.4,29.2,2.2,29.0,53.6
24510250401,250401,37.3,3,63.9,14.5,46637.0,22.8,18.4,11.8,2.9,20.2,44.6,19.3,28.4
24510250402,250402,49.1,4,70.1,39.7,40000.0,32.0,9.8,7.8,15.6,28.3,34.8,35.3,23.1
24510272003,272003,24.3,1,33.3,7.7,75973.0,6.9,11.6,11.9,1.0,21.2,1.9,31.4,63.7
